UserID,MovieID,CategoryID,Timestamp,Rating
97,54,5,874724905,3
97,323,0,874725485,4
845,778,3,874728396,4
705,162,2,874729682,5
705,567,0,874729749,2
705,333,0,874729750,4
705,105,0,874729778,5
705,27,0,874729935,2
705,672,2,874729935,1
705,384,1,874729996,4
705,421,3,874729996,5
705,18,3,874729996,5
705,104,0,874730085,3
705,1077,3,874730155,4
705,135,0,874730155,2
705,1357,3,874730155,4
705,14,2,874730206,5
705,168,0,874730261,3
705,803,3,874730342,4
705,849,3,874730443,1
705,308,3,874730520,1
845,76,2,874767408,3
845,126,0,874767550,5
18,269,3,874774286,5
18,46,5,874774449,4
18,969,3,874774575,5
18,333,0,874774718,5
18,195,3,874775185,5
18,637,3,874775262,2
18,493,0,874775406,4
18,331,3,874775580,4
18,16,2,874775580,4
18,184,2,874775580,5
18,510,2,874775849,2
18,467,0,874775980,3
18,481,0,874775980,2
635,779,2,874777583,5
635,241,3,874777623,5
635,371,3,874777765,5
635,43,0,874778065,4
635,594,3,874778207,5
635,490,0,874778613,5
593,52,0,874781050,5
593,47,0,874781076,3
593,175,0,874781076,4
18,94,0,874781257,5
18,403,1,874781628,5
18,380,0,874781698,4
18,84,2,874781742,5
18,277,5,874781915,3
18,426,0,874782190,5
593,70,3,874784095,3
149,47,0,874784337,4
149,56,1,874784440,5
149,123,3,874784440,4
149,795,3,874784440,5
149,45,3,874784557,5
149,167,0,874784712,1
149,383,3,874785165,5
149,220,4,874785526,4
149,788,2,874785526,3
149,307,2,874785526,5
149,27,0,874785624,2
149,185,2,874785809,5
149,469,1,874785843,4
149,373,3,874785843,3
149,635,2,874785926,4
34,46,5,874786392,3
34,142,0,874786467,5
149,395,2,874786513,2
34,130,0,874786568,4
34,45,3,874786605,5
34,340,3,874786756,4
34,70,3,874786756,5
34,448,3,874786784,3
149,438,0,874786793,3
34,346,5,874786831,2
34,216,5,874786924,3
34,347,2,874786924,4
149,48,3,874786926,2
34,517,3,874786945,2
34,848,1,874787065,3
149,55,0,874787116,3
34,470,2,874787150,3
149,69,0,874787162,3
34,434,2,874787172,2
34,153,0,874787172,2
34,212,5,874787195,2
34,155,2,874787300,2
34,524,3,874787353,5
34,277,5,874787407,5
34,540,0,874787407,3
34,516,2,874787496,4
34,380,0,874787496,5
34,270,3,874787526,4
34,222,3,874787526,5
845,314,2,874789005,3
845,933,1,874789109,4
523,726,2,874789155,3
523,998,2,874789538,2
523,481,0,874790629,2
34,311,3,874790801,4
523,1288,2,874790930,3
34,335,0,874791102,5
34,225,3,874791145,4
34,278,5,874791169,3
34,364,3,874791169,4
34,301,2,874791194,3
34,103,3,874791257,4
34,725,3,874791316,2
34,499,3,874791339,1
34,564,3,874791383,1
34,1067,3,874791407,1
34,478,5,874791444,3
34,1152,0,874791487,2
34,43,0,874791623,4
34,343,2,874791623,5
34,228,2,874791667,5
34,12,2,874791871,3
34,1132,2,874791894,2
34,34,2,874791932,1
523,1131,2,874791976,2
34,758,2,874791993,3
34,58,0,874792094,3
34,1108,0,874792094,2
34,629,2,874792118,2
34,1001,2,874792143,1
34,805,2,874792277,2
34,371,3,874792366,4
34,290,0,874792401,5
34,237,0,874792402,5
810,159,2,874792403,4
34,729,0,874792436,4
34,69,0,874792483,3
34,398,0,874792519,1
34,426,0,874792520,2
34,407,0,874792520,3
34,692,0,874792520,4
810,47,0,874792521,4
34,349,0,874792547,4
34,276,0,874792574,2
34,500,5,874792574,3
34,496,0,874792601,1
34,701,0,874792634,1
34,577,0,874792634,1
34,132,3,874792663,4
34,197,5,874792663,4
34,68,3,874792692,3
810,1156,3,874792698,5
34,393,3,874792745,2
810,375,0,874792752,3
810,16,2,874792778,5
34,469,1,874792839,4
810,507,3,874792860,4
34,628,3,874792907,3
34,359,1,874792945,3
34,253,1,874792969,3
34,180,1,874793035,3
34,133,3,874793198,2
523,900,0,874794386,2
523,310,2,874794386,2
34,606,3,874795574,2
34,327,5,874795704,5
34,1036,5,874795729,1
34,908,5,874795795,1
34,691,0,874795795,2
34,17,5,874795823,1
34,1178,3,874795823,2
34,183,0,874795823,2
523,473,2,874795951,2
34,13,0,874796373,3
34,647,0,874796373,2
523,1360,2,874796400,1
34,1059,0,874796412,1
523,577,0,874796421,2
17,54,5,874805453,5
17,108,0,874805577,2
17,47,0,874805804,5
17,333,0,874805860,5
17,167,0,874805860,2
17,703,0,874805927,2
97,103,3,874809057,5
32,269,3,874813268,5
32,52,0,874813477,5
809,161,0,874815649,4
809,108,0,874815789,2
809,336,3,874815789,2
809,880,3,874815835,3
234,570,0,874825826,2
234,558,2,874825826,2
234,50,2,874825826,2
234,758,2,874825826,2
234,1318,0,874825827,1
749,145,3,874826502,3
749,299,0,874826565,3
749,801,3,874827023,5
749,244,2,874827486,4
889,145,3,874827508,3
889,134,0,874827595,2
889,22,2,874827725,5
749,167,0,874827755,3
889,87,2,874827789,3
889,177,2,874827818,5
749,109,3,874827884,2
749,1440,4,874828198,1
749,1103,5,874828278,2
889,741,0,874828296,2
889,924,0,874828296,2
889,269,3,874828384,4
889,289,2,874828569,3
749,168,0,874828640,3
749,75,0,874828826,2
889,507,3,874828864,3
889,111,3,874828897,4
749,11,0,874828967,2
749,389,0,874828967,2
749,104,0,874828967,3
889,934,0,874828981,1
889,880,3,874829129,3
749,375,0,874829152,3
749,344,0,874829152,2
749,183,0,874829152,1
749,216,5,874829174,1
749,16,2,874829637,3
749,31,2,874829743,1
749,810,5,874829924,4
749,373,3,874829924,2
749,513,5,874830068,1
749,728,5,874830305,2
749,783,2,874830344,2
749,153,0,874830344,3
17,61,3,874833668,5
17,385,2,874833726,4
17,111,3,874833746,4
17,79,0,874833827,4
17,259,0,874833857,3
17,21,0,874833878,2
17,268,3,874833911,4
17,216,5,874833936,3
17,517,3,874833962,1
17,648,2,874834001,4
17,475,0,874834071,2
17,913,0,874834184,1
17,300,3,874834254,5
17,1071,5,874834358,3
17,98,0,874834389,2
17,880,3,874834389,2
17,371,3,874834735,4
17,327,5,874834768,5
17,651,3,874834827,5
17,485,0,874834827,5
17,666,5,874834827,3
17,150,5,874834850,3
17,140,0,874834875,4
17,490,0,874834914,3
17,1036,5,874834944,3
17,1094,5,874834944,2
17,93,0,874835062,5
17,413,0,874835062,4
17,187,0,874835141,4
17,105,0,874835141,4
17,349,0,874835198,4
17,887,0,874835242,1
34,831,2,874836682,1
927,331,3,874853605,2
927,672,2,874853635,1
927,24,2,874853666,3
927,231,3,874853755,3
927,103,3,874853779,4
927,343,2,874853869,3
927,30,3,874853927,4
927,101,2,874853957,4
927,430,0,874854100,3
927,32,2,874854135,4
927,440,3,874854161,3
927,445,2,874854251,1
927,335,0,874854294,4
927,378,2,874854294,2
927,98,0,874854383,1
927,464,3,874854402,3
927,160,3,874854424,4
927,109,3,874854444,4
927,140,0,874854461,2
927,524,3,874854723,5
927,11,0,874854783,1
927,332,3,874854853,4
927,692,0,874854874,2
927,276,0,874854994,1
927,94,0,874855020,2
927,485,0,874855104,1
927,375,0,874855138,3
542,130,0,874861792,3
501,331,3,874862229,1
501,599,0,874862646,3
542,498,5,874863035,4
542,235,3,874863035,4
542,104,0,874863155,4
542,1207,1,874863155,3
542,20,0,874863269,4
542,735,5,874863269,3
542,29,3,874863336,4
542,186,3,874863549,3
