UserID,MovieID,CategoryID,Rating,Timestamp
0,0,2,3,881250949
1,1,5,3,891717742
2,2,2,1,878887116
3,3,3,2,880606923
3,3,4,2,880606923
4,4,3,1,886397596
5,5,0,2,881171488
5,5,5,2,881171488
6,6,1,5,891628467
6,6,4,5,891628467
7,7,2,3,886324817
7,7,4,3,886324817
8,8,3,3,883603013
9,9,0,2,879372434
9,9,1,2,879372434
9,9,2,2,879372434
10,10,2,5,879781125
11,11,0,5,876042340
11,11,1,5,876042340
12,12,2,3,891035994
13,13,0,3,888104457
13,13,1,3,888104457
13,13,2,3,888104457
14,14,2,3,879485318
14,14,4,3,879485318
15,15,3,5,879270459
16,16,2,2,879539794
16,16,4,2,879539794
17,17,5,4,874834944
18,18,3,4,886176814
19,19,2,4,892738452
19,19,4,4,892738452
20,20,0,4,877881320
20,20,5,4,877881320
17,21,0,2,874833878
17,21,1,2,874833878
17,21,5,2,874833878
21,22,2,4,887736532
22,23,0,2,879196566
22,23,5,2,879196566
23,24,2,5,892430094
24,25,1,2,883748450
25,26,3,4,875747401
26,27,0,5,876861185
27,28,3,3,877052329
27,28,4,3,877052329
28,29,3,4,882075827
28,29,5,4,882075827
29,30,3,4,879539727
30,31,2,4,880731963
30,31,4,4,880731963
31,32,2,3,884238860
32,16,2,4,886890835
32,16,4,4,886890835
33,33,5,5,891295330
34,34,2,1,874791932
34,34,4,1,874791932
35,35,2,4,877888877
35,35,4,4,877888877
36,36,1,4,885329322
37,37,3,2,884114233
37,37,5,2,884114233
34,38,2,3,874791805
38,39,3,5,875333916
39,40,0,5,884921594
39,40,1,5,884921594
39,40,2,5,884921594
40,41,3,5,879741196
40,41,4,5,879741196
41,42,0,5,879641194
41,42,4,5,879641194
42,43,0,5,886519097
42,43,2,5,886519097
42,43,3,5,886519097
43,44,3,3,882823437
43,44,5,3,882823437
44,45,3,4,886271884
44,45,5,4,886271884
45,46,5,4,890618898
46,47,0,5,885853415
46,47,1,5,885853415
46,47,4,5,885853415
47,48,3,5,888205088
48,49,0,2,880037164
48,49,1,2,880037164
49,50,2,4,879877127
50,51,3,5,881107687
51,52,0,4,881103977
51,52,3,4,881103977
5,53,3,3,881171009
5,53,4,3,881171009
52,54,5,1,879667584
53,55,0,3,882141053
53,55,1,3,882141053
53,55,3,3,882141053
39,56,1,4,884920949
54,57,2,5,879024232
19,58,0,1,892738341
19,58,2,1,892738341
55,59,3,5,883326620
56,36,1,5,883698581
57,16,2,4,891550094
57,16,4,4,891550094
58,60,2,4,893277702
58,60,3,4,893277702
58,60,4,4,893277702
59,61,3,3,879987440
60,62,2,1,890251826
39,63,3,3,884923047
16,64,3,4,879546723
61,65,3,2,887249482
43,66,2,4,882823954
62,67,2,3,886475558
63,68,3,3,888906576
63,68,5,3,888906576
64,69,0,5,884364867
64,69,1,5,884364867
29,70,3,5,879539643
29,70,4,5,879539643
20,69,0,3,878192429
20,69,1,3,878192429
29,71,2,5,879540748
29,71,5,5,879540748
34,72,0,3,874791025
34,72,3,3,874791025
34,72,5,3,874791025
17,20,0,5,874835091
17,20,5,5,874835091
65,73,3,4,878183381
66,74,3,5,878971773
50,75,0,3,881108684
50,75,1,3,881108684
50,75,3,3,881108684
67,76,2,4,891903862
67,76,4,4,891903862
68,77,2,4,879361873
69,78,2,4,877635573
49,79,0,4,879876194
49,79,1,4,879876194
49,79,5,4,879876194
70,80,2,5,875296291
71,81,3,2,885557505
71,81,4,2,885557505
18,82,3,5,874781198
9,83,0,4,879373848
9,83,1,4,879373848
9,83,4,4,879373848
9,84,2,3,879375537
9,84,3,3,879375537
72,85,2,4,881961214
72,85,3,4,881961214
73,86,3,4,879857765
73,86,5,4,879857765
74,87,2,3,883709863
75,84,2,5,891383835
75,84,3,5,891383835
10,88,2,4,877531942
63,89,0,3,888905170
63,89,5,3,888905170
76,20,0,4,880234639
76,20,5,4,880234639
